"played_at";"track.name";"track.id";"name";"artist.id";"featured_artists";"featured_artist_ids";"played";"day"
"2026-08-11T10:46:10.931Z";"Tout oublier";"088u3xavPizgdYkeXyzglJ";"Angèle";"3QVolfxko2UyCOtexhVTli";"Roméo Elvis";"2pHk4wAmL7ofTAuvCIUWtv";"2026-08-11 10:46:10.931";"2026-08-11"
"2026-08-11T10:51:05.151Z";"Atrévete-Te-Te";"1q8NdCAQ9QUjpYiqzdd3mv";"Calle 13";"0yNSzH5nZmHzeE2xn6Xshb";;;"2026-08-11 10:51:05.151";"2026-08-11"
"2026-08-11T10:54:52.519Z";"Represent";"1ZYq2RVDEht5fuLUomK03I";"Orishas";"2gKYxTUOqw9aPt7ljMwSHT";;;"2026-08-11 10:54:52.519";"2026-08-11"
"2026-08-11T10:59:41.094Z";"El lado oscuro";"3AR1c3Dssq51WlGGkuYJNj";"Jarabe De Palo";"5B6H1Dq77AV1LZWrbNsuH5";;;"2026-08-11 10:59:41.094";"2026-08-11"
"2026-08-11T11:50:26.703Z";"DESPECHÁ";"53tfEupEzQRtVFOeZvk7xq";"ROSALÍA";"7ltDVBr6mKbRvohxheJ9h1";;;"2026-08-11 11:50:26.703";"2026-08-11"
"2026-08-11T11:55:28.683Z";"Latinoamérica (feat. Totó la Momposina, Susana Baca & Maria Rita)";"1xuYajTJZh8zZrPRmUaagf";"Calle 13";"0yNSzH5nZmHzeE2xn6Xshb";"Totó La Momposina|Susana Baca|Maria Rita";"26BL0aeVS96sje8JfCNfUk|1DiaZsjdOzFCdk7Dw9KIs0|1C8UBSZs5rOPfxuxTMS6OI";"2026-08-11 11:55:28.683";"2026-08-11"
"2026-08-11T11:58:47.694Z";"Tú Me Dejaste De Querer";"5ddFjrPG8NgQQ6xlOQIVd2";"C. Tangana";"5TYxZTjIPqKM8K8NuP9woO";"Niño de Elche|La Húngara";"5IbUz6BcOu6IVY512oxavP|7xtnpHS34mLlxGZDVUBHSU";"2026-08-11 11:58:47.694";"2026-08-11"
"2026-08-11T12:02:51.859Z";"A Lo Cubano";"0BVYZVB6ITPs5jojmJaNQT";"Orishas";"2gKYxTUOqw9aPt7ljMwSHT";;;"2026-08-11 12:02:51.859";"2026-08-11"
"2026-08-11T12:07:19.525Z";"Suavemente";"7JIjUx3GsL0upxmNJacmtz";"Elvis Crespo";"1c22GXH30ijlOfXhfLz9Df";;;"2026-08-11 12:07:19.525";"2026-08-11"
"2026-08-11T12:11:41.259Z";"La flaca";"2LsbizbOeNa4x6qsi2jAMb";"Jarabe De Palo";"5B6H1Dq77AV1LZWrbNsuH5";;;"2026-08-11 12:11:41.259";"2026-08-11"
"2026-08-11T13:00:03.062Z";"Tití Me Preguntó";"1IHWl5LamUGEuP4ozKQSXZ";"Bad Bunny";"4q3ewBCX7sLwd24euuV69X";;;"2026-08-11 13:00:03.062";"2026-08-11"
"2026-08-11T13:03:52.241Z";"Llorarás";"0zDO5avDZSXRwWzfuguIRb";"La Dimensión Latina";"5wb8MfrYdUEBSg71SKD0A5";"Oscar D'León";"1c84wItoiAe1pEbpJMqUmQ";"2026-08-11 13:03:52.241";"2026-08-11"
"2026-08-11T13:11:15.398Z";"MENTRE EL MONSTRE";"557PXjvdwNbUiMUTT9dv4W";"Arnau Vallvé";"38gIxDsXbSjhotw90hpVpS";;;"2026-08-11 13:11:15.398";"2026-08-11"
"2026-08-11T13:20:20.369Z";"Jo competeixo";"5NSR9uH0YeDo67gMiEv13n";"Manel";"40tHhop0T30DwienQBmTxb";;;"2026-08-11 13:20:20.369";"2026-08-11"
"2026-08-11T13:30:25.938Z";"De vida, baile y resaca";"3jmMzDDkSSleqgxRPyajAT";"Calequi y Las Panteras";"1ktDK2MSGJMNB2hBgmki5u";;;"2026-08-11 13:30:25.938";"2026-08-11"
"2026-08-11T13:33:03.521Z";"Toñito";"5l4xsHuiPYtcwnBCkAZ1ZJ";"Paco Pecado";"2vXDokvgkQ25O1FOPxQhSp";;;"2026-08-11 13:33:03.521";"2026-08-11"
"2026-08-11T13:36:41.004Z";"DE NIT";"7JKfvY7taT8MrEMgoMwSsc";"Malifeta";"7zmlWioAkvlpV4krlZkmQc";"pxllt";"0aVi6WZoPoVJIQBlMk8sbq";"2026-08-11 13:36:41.004";"2026-08-11"
"2026-08-11T13:43:17.611Z";"Jazmines";"1cyPO0TFdbJ5ZG3PLmDneQ";"Canastéreo";"4QcLF1QCIWNA27hWTGNGWE";;;"2026-08-11 13:43:17.611";"2026-08-11"
