"played_at";"track.name";"name";"played";"day"
"2026-06-06T06:07:01.655Z";"Moten Swing";"Barney Kessel";"2026-06-06 06:07:01.655";"2026-06-06"
"2026-06-06T06:07:28.897Z";"Moten Swing";"Barney Kessel";"2026-06-06 06:07:28.897";"2026-06-06"
"2026-06-06T06:14:37.310Z";"Moten Swing";"Barney Kessel";"2026-06-06 06:14:37.31";"2026-06-06"
"2026-06-06T06:28:20.074Z";"San Francisco Boy";"Käärijä";"2026-06-06 06:28:20.074";"2026-06-06"
"2026-06-06T06:31:04.298Z";"Sekaisin";"costee";"2026-06-06 06:31:04.298";"2026-06-06"
"2026-06-06T06:34:01.986Z";"Otan Kii";"Isac Elliot";"2026-06-06 06:34:01.986";"2026-06-06"
"2026-06-06T06:40:41.104Z";"Catch Me If You Can";"Baby Lasagna";"2026-06-06 06:40:41.104";"2026-06-06"
"2026-06-06T06:43:26.756Z";"Kite";"Benjamin Ingrosso";"2026-06-06 06:43:26.756";"2026-06-06"
"2026-06-06T06:46:26.788Z";"Ram pam pam";"BESS";"2026-06-06 06:46:26.788";"2026-06-06"
"2026-06-06T06:49:20.589Z";"Again";"Baby Lasagna";"2026-06-06 06:49:20.589";"2026-06-06"
"2026-06-06T06:58:56.429Z";"Moten Swing";"Barney Kessel";"2026-06-06 06:58:56.429";"2026-06-06"
